Mode,Trace_no,Total_host,Host_no,Segment_no,Arr_time,Del_Time,Stall_Dur,Rep_Level,Del_Rate,Act_Rate,Byte_Size,Buff_Level,Algorithm,Seg_Dur,Width,Height,resolutions,Play_Pos,RTT_app,Clae, Duanmu,Yin,Yu,P1203,persegment_RTT,Throughput,Packets
driving,2,3,1,1,85,85,0,239,200,8,2132,2000,arbiter,2000,320,180,320x180,0,38.062,0.0,51.077,-5760.485,0.24,1.8780000000000001,0.233,4549323.017,2
driving,2,3,1,2,1171,99,0,239,6662,329,82445,4000,arbiter,2000,320,180,320x180,2000,29.293000000000003,0.48,46.477,-11520.97,0.24,1.8780000000000001,0.231,3148619.311,22
driving,2,3,1,3,2363,170,0,572,12424,1056,264029,4808,arbiter,2000,512,288,512x288,4000,5.8260000000000005,0.32899999999999996,47.486999999999995,718.545,0.35100000000000003,2.165,0.126,3119968.83,52
driving,2,3,1,4,3639,312,0,1077,12467,1944,486242,5533,arbiter,2000,640,360,640x360,6000,0.6829999999999999,0.251,48.82,1291.0339999999999,0.532,2.4,9.81,1823332.084,72
driving,2,3,1,5,5030,460,0,2422,11993,2758,689642,6143,arbiter,2000,1280,720,1280x720,8000,0.299,0.0,51.681999999999995,2368.956,0.91,2.923,5.332000000000001,1584810.865,176
driving,2,3,1,6,6700,647,0,3918,12418,4017,1004382,6473,arbiter,2000,1920,1080,1920x1080,10000,0.374,0.0,55.326,4791.323,1.412,3.102,0.26,1621059.12,203
driving,2,3,1,7,7886,183,0,4375,40665,3720,930218,7288,arbiter,2000,1920,1080,1920x1080,12000,6.494,0.0,58.224,8709.744,1.835,3.221,5.778,6019038.316000001,99
driving,2,3,1,8,9442,543,0,4375,11525,3129,782275,7732,arbiter,2000,1920,1080,1920x1080,14000,0.332,0.113,60.446999999999996,13084.763,2.153,3.39,2.329,1497145.372,199
driving,2,3,1,9,11028,450,0,4375,16327,3673,918424,8147,arbiter,2000,1920,1080,1920x1080,16000,8.007,0.384,62.175,17459.782,2.399,3.505,6.205,2182038.65,88
driving,2,3,1,10,13057,931,0,4375,7566,3522,880531,8118,arbiter,2000,1920,1080,1920x1080,18000,0.289,0.642,63.558,21834.801,2.597,3.5789999999999997,0.225,972767.0638,239
driving,2,3,1,11,14696,601,0,4375,12235,3676,919189,8480,arbiter,2000,1920,1080,1920x1080,20000,10.600999999999999,0.879,64.69,26209.82,2.759,3.648,8.021,1671102.1609999998,138
driving,2,3,1,12,15919,171,0,4375,45106,3856,964150,9258,arbiter,2000,1920,1080,1920x1080,22000,7.797999999999999,1.095,65.633,30584.839,2.8930000000000002,3.708,4.819,6645073.936000001,119
driving,2,3,1,13,17982,1001,0,4375,7167,3587,896857,9195,arbiter,2000,1920,1080,1920x1080,24000,0.27,1.29,66.43,34959.858,3.0069999999999997,3.763,2.875,923425.3245,219
